,x,Time Stamp
0,1709,1956-01-31
1,1646,1956-02-29
2,1794,1956-03-31
3,1878,1956-04-30
4,2173,1956-05-31
5,2321,1956-06-30
6,2468,1956-07-31
7,2416,1956-08-31
8,2184,1956-09-30
9,2121,1956-10-31
10,1962,1956-11-30
11,1825,1956-12-31
12,1751,1957-01-31
13,1688,1957-02-28
14,1920,1957-03-31
15,1941,1957-04-30
16,2311,1957-05-31
17,2279,1957-06-30
18,2638,1957-07-31
19,2448,1957-08-31
20,2279,1957-09-30
21,2163,1957-10-31
22,1941,1957-11-30
23,1878,1957-12-31
24,1773,1958-01-31
25,1688,1958-02-28
26,1783,1958-03-31
27,1984,1958-04-30
28,2290,1958-05-31
29,2511,1958-06-30
30,2712,1958-07-31
31,2522,1958-08-31
32,2342,1958-09-30
33,2195,1958-10-31
34,1931,1958-11-30
35,1910,1958-12-31
36,1730,1959-01-31
37,1688,1959-02-28
38,1899,1959-03-31
39,1994,1959-04-30
40,2342,1959-05-31
41,2553,1959-06-30
42,2712,1959-07-31
43,2627,1959-08-31
44,2363,1959-09-30
45,2311,1959-10-31
46,2026,1959-11-30
47,1910,1959-12-31
48,1762,1960-01-31
49,1815,1960-02-29
50,2005,1960-03-31
51,2089,1960-04-30
52,2617,1960-05-31
53,2828,1960-06-30
54,2965,1960-07-31
55,2891,1960-08-31
56,2532,1960-09-30
57,2363,1960-10-31
58,2216,1960-11-30
59,2026,1960-12-31
60,1804,1961-01-31
61,1773,1961-02-28
62,2015,1961-03-31
63,2089,1961-04-30
64,2627,1961-05-31
65,2712,1961-06-30
66,3007,1961-07-31
67,2880,1961-08-31
68,2490,1961-09-30
69,2237,1961-10-31
70,2205,1961-11-30
71,1984,1961-12-31
72,1868,1962-01-31
73,1815,1962-02-28
74,2047,1962-03-31
75,2142,1962-04-30
76,2743,1962-05-31
77,2775,1962-06-30
78,3028,1962-07-31
79,2965,1962-08-31
80,2501,1962-09-30
81,2501,1962-10-31
82,2131,1962-11-30
83,2015,1962-12-31
84,1910,1963-01-31
85,1868,1963-02-28
86,2121,1963-03-31
87,2268,1963-04-30
88,2690,1963-05-31
89,2933,1963-06-30
90,3218,1963-07-31
91,3028,1963-08-31
92,2659,1963-09-30
93,2406,1963-10-31
94,2258,1963-11-30
95,2057,1963-12-31
96,1889,1964-01-31
97,1984,1964-02-29
98,2110,1964-03-31
99,2311,1964-04-30
100,2785,1964-05-31
101,3039,1964-06-30
102,3229,1964-07-31
103,3070,1964-08-31
104,2659,1964-09-30
105,2543,1964-10-31
106,2237,1964-11-30
107,2142,1964-12-31
108,1962,1965-01-31
109,1910,1965-02-28
110,2216,1965-03-31
111,2437,1965-04-30
112,2817,1965-05-31
113,3123,1965-06-30
114,3345,1965-07-31
115,3112,1965-08-31
116,2659,1965-09-30
117,2469,1965-10-31
118,2332,1965-11-30
119,2110,1965-12-31
120,1910,1966-01-31
121,1941,1966-02-28
122,2216,1966-03-31
123,2342,1966-04-30
124,2923,1966-05-31
125,3229,1966-06-30
126,3513,1966-07-31
127,3355,1966-08-31
128,2849,1966-09-30
129,2680,1966-10-31
130,2395,1966-11-30
131,2205,1966-12-31
132,1994,1967-01-31
133,1952,1967-02-28
134,2290,1967-03-31
135,2395,1967-04-30
136,2965,1967-05-31
137,3239,1967-06-30
138,3608,1967-07-31
139,3524,1967-08-31
140,3018,1967-09-30
141,2648,1967-10-31
142,2363,1967-11-30
143,2247,1967-12-31
144,1994,1968-01-31
145,1941,1968-02-29
146,2258,1968-03-31
147,2332,1968-04-30
148,3323,1968-05-31
149,3608,1968-06-30
150,3957,1968-07-31
151,3672,1968-08-31
152,3155,1968-09-30
153,2933,1968-10-31
154,2585,1968-11-30
155,2384,1968-12-31
156,2057,1969-01-31
157,2100,1969-02-28
158,2458,1969-03-31
159,2638,1969-04-30
160,3292,1969-05-31
161,3724,1969-06-30
162,4652,1969-07-31
163,4379,1969-08-31
164,4231,1969-09-30
165,3756,1969-10-31
166,3429,1969-11-30
167,3461,1969-12-31
168,3345,1970-01-31
169,4220,1970-02-28
170,4874,1970-03-31
171,5064,1970-04-30
172,5951,1970-05-31
173,6774,1970-06-30
174,7997,1970-07-31
175,7523,1970-08-31
176,7438,1970-09-30
177,6879,1970-10-31
178,6489,1970-11-30
179,6288,1970-12-31
180,5919,1971-01-31
181,6183,1971-02-28
182,6594,1971-03-31
183,6489,1971-04-30
184,8040,1971-05-31
185,9715,1971-06-30
186,9714,1971-07-31
187,9756,1971-08-31
188,8595,1971-09-30
189,7861,1971-10-31
190,7753,1971-11-30
191,8154,1971-12-31
192,7778,1972-01-31
193,7402,1972-02-29
194,8903,1972-03-31
195,9742,1972-04-30
196,11372,1972-05-31
197,12741,1972-06-30
198,13733,1972-07-31
199,13691,1972-08-31
200,12239,1972-09-30
201,12502,1972-10-31
202,11241,1972-11-30
203,10829,1972-12-31
204,11569,1973-01-31
205,10397,1973-02-28
206,12493,1973-03-31
207,11962,1973-04-30
208,13974,1973-05-31
209,14945,1973-06-30
210,16805,1973-07-31
211,16587,1973-08-31
212,14225,1973-09-30
213,14157,1973-10-31
214,13016,1973-11-30
215,12253,1973-12-31
216,11704,1974-01-31
217,12275,1974-02-28
218,13695,1974-03-31
219,14082,1974-04-30
220,16555,1974-05-31
221,17339,1974-06-30
222,17777,1974-07-31
223,17592,1974-08-31
224,16194,1974-09-30
225,15336,1974-10-31
226,14208,1974-11-30
227,13116,1974-12-31
228,12354,1975-01-31
229,12682,1975-02-28
230,14141,1975-03-31
231,14989,1975-04-30
232,16159,1975-05-31
233,18276,1975-06-30
234,19157,1975-07-31
235,18737,1975-08-31
236,17109,1975-09-30
